,"(a,b)",input_a,input_b,const,output,MR2_input_a,MR2_input_b,MR2_inputs,MR2_output,MR2_checker
0,"(0,0)",0,0,6,0.0,0.0,0.0,"(0,0)",0.0,Violated
1,"(1,0)",1,0,6,1.0,6.0,0.0,"(6,0)",6.0,No-violated
2,"(2,0)",2,0,6,2.0,12.0,0.0,"(12,0)",12.0,No-violated
3,"(3,0)",3,0,6,3.0,18.0,0.0,"(18,0)",18.0,No-violated
4,"(4,0)",4,0,6,4.0,24.0,0.0,"(24,0)",24.0,No-violated
5,"(5,0)",5,0,6,5.0,30.0,0.0,"(30,0)",30.0,No-violated
6,"(6,0)",6,0,6,6.0,36.0,0.0,"(36,0)",36.0,No-violated
7,"(7,0)",7,0,6,7.0,42.0,0.0,"(42,0)",42.0,No-violated
8,"(8,0)",8,0,6,8.0,48.0,0.0,"(48,0)",48.0,No-violated
9,"(9,0)",9,0,6,9.0,54.0,0.0,"(54,0)",54.0,No-violated
10,"(0,1)",0,1,6,1.0,0.0,6.0,"(0,6)",6.0,No-violated
11,"(1,1)",1,1,6,2.0,6.0,6.0,"(6,6)",12.0,No-violated
12,"(2,1)",2,1,6,3.0,12.0,6.0,"(12,6)",18.0,No-violated
13,"(3,1)",3,1,6,4.0,18.0,6.0,"(18,6)",24.0,No-violated
14,"(4,1)",4,1,6,5.0,24.0,6.0,"(24,6)",30.0,No-violated
15,"(5,1)",5,1,6,6.0,30.0,6.0,"(30,6)",36.0,No-violated
16,"(6,1)",6,1,6,7.0,36.0,6.0,"(36,6)",42.0,No-violated
17,"(7,1)",7,1,6,8.0,42.0,6.0,"(42,6)",48.0,No-violated
18,"(8,1)",8,1,6,9.0,48.0,6.0,"(48,6)",54.0,No-violated
19,"(9,1)",9,1,6,10.0,54.0,6.0,"(54,6)",60.0,No-violated
20,"(0,2)",0,2,6,2.0,0.0,12.0,"(0,12)",12.0,No-violated
21,"(1,2)",1,2,6,3.0,6.0,12.0,"(6,12)",18.0,No-violated
22,"(2,2)",2,2,6,4.0,12.0,12.0,"(12,12)",24.0,No-violated
23,"(3,2)",3,2,6,5.0,18.0,12.0,"(18,12)",30.0,No-violated
24,"(4,2)",4,2,6,6.0,24.0,12.0,"(24,12)",36.0,No-violated
25,"(5,2)",5,2,6,7.0,30.0,12.0,"(30,12)",42.0,No-violated
26,"(6,2)",6,2,6,8.0,36.0,12.0,"(36,12)",48.0,No-violated
27,"(7,2)",7,2,6,9.0,42.0,12.0,"(42,12)",54.0,No-violated
28,"(8,2)",8,2,6,10.0,48.0,12.0,"(48,12)",60.0,No-violated
29,"(9,2)",9,2,6,11.0,54.0,12.0,"(54,12)",66.0,No-violated
30,"(0,3)",0,3,6,3.0,0.0,18.0,"(0,18)",18.0,No-violated
31,"(1,3)",1,3,6,4.0,6.0,18.0,"(6,18)",24.0,No-violated
32,"(2,3)",2,3,6,5.0,12.0,18.0,"(12,18)",30.0,No-violated
33,"(3,3)",3,3,6,6.0,18.0,18.0,"(18,18)",36.0,No-violated
34,"(4,3)",4,3,6,7.0,24.0,18.0,"(24,18)",42.0,No-violated
35,"(5,3)",5,3,6,8.0,30.0,18.0,"(30,18)",48.0,No-violated
36,"(6,3)",6,3,6,9.0,36.0,18.0,"(36,18)",54.0,No-violated
37,"(7,3)",7,3,6,10.0,42.0,18.0,"(42,18)",60.0,No-violated
38,"(8,3)",8,3,6,11.0,48.0,18.0,"(48,18)",66.0,No-violated
39,"(9,3)",9,3,6,12.0,54.0,18.0,"(54,18)",72.0,No-violated
40,"(0,4)",0,4,6,4.0,0.0,24.0,"(0,24)",24.0,No-violated
41,"(1,4)",1,4,6,5.0,6.0,24.0,"(6,24)",30.0,No-violated
42,"(2,4)",2,4,6,6.0,12.0,24.0,"(12,24)",36.0,No-violated
43,"(3,4)",3,4,6,7.0,18.0,24.0,"(18,24)",42.0,No-violated
44,"(4,4)",4,4,6,8.0,24.0,24.0,"(24,24)",48.0,No-violated
45,"(5,4)",5,4,6,9.0,30.0,24.0,"(30,24)",54.0,No-violated
46,"(6,4)",6,4,6,10.0,36.0,24.0,"(36,24)",60.0,No-violated
47,"(7,4)",7,4,6,11.0,42.0,24.0,"(42,24)",66.0,No-violated
48,"(8,4)",8,4,6,12.0,48.0,24.0,"(48,24)",72.0,No-violated
49,"(9,4)",9,4,6,13.0,54.0,24.0,"(54,24)",78.0,No-violated
50,"(0,5)",0,5,6,5.0,0.0,30.0,"(0,30)",30.0,No-violated
51,"(1,5)",1,5,6,6.0,6.0,30.0,"(6,30)",36.0,No-violated
