,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('input_b == 5',)",1,"('MR1_input_a == 5.0',)",1,1.0,0.1,10.0,900000000.0
1,"('MR1_input_a == 5.0',)",1,"('input_b == 5',)",1,1.0,0.1,10.0,900000000.0
2,"('input_b == 7',)",1,"('MR1_input_a == 7.0',)",1,1.0,0.1,10.0,900000000.0
3,"('MR1_input_a == 7.0',)",1,"('input_b == 7',)",1,1.0,0.1,10.0,900000000.0
4,"('input_a == 1',)",1,"('MR1_input_b == 1.0',)",1,1.0,0.1,10.0,900000000.0
5,"('MR1_input_b == 1.0',)",1,"('input_a == 1',)",1,1.0,0.1,10.0,900000000.0
6,"('input_b == 9',)",1,"('MR1_input_a == 9.0',)",1,1.0,0.1,10.0,900000000.0
7,"('MR1_input_a == 9.0',)",1,"('input_b == 9',)",1,1.0,0.1,10.0,900000000.0
8,"('MR1_output == 0.0',)",1,"('MR1_checker == No-violated',)",1,1.0,0.1,10.0,900000000.0
9,"('MR1_checker == No-violated',)",1,"('MR1_output == 0.0',)",1,1.0,0.1,10.0,900000000.0
10,"('input_b == 8',)",1,"('MR1_input_a == 8.0',)",1,1.0,0.1,10.0,900000000.0
11,"('MR1_input_a == 8.0',)",1,"('input_b == 8',)",1,1.0,0.1,10.0,900000000.0
12,"('input_a == 2',)",1,"('MR1_input_b == 2.0',)",1,1.0,0.1,10.0,900000000.0
13,"('MR1_input_b == 2.0',)",1,"('input_a == 2',)",1,1.0,0.1,10.0,900000000.0
14,"('input_a == 4',)",1,"('MR1_input_b == 4.0',)",1,1.0,0.1,10.0,900000000.0
15,"('MR1_input_b == 4.0',)",1,"('input_a == 4',)",1,1.0,0.1,10.0,900000000.0
16,"('output == 0.0',)",1,"('MR1_checker == No-violated',)",1,1.0,0.1,10.0,900000000.0
17,"('MR1_checker == No-violated',)",1,"('output == 0.0',)",1,1.0,0.1,10.0,900000000.0
18,"('input_a == 3',)",1,"('MR1_input_b == 3.0',)",1,1.0,0.1,10.0,900000000.0
19,"('MR1_input_b == 3.0',)",1,"('input_a == 3',)",1,1.0,0.1,10.0,900000000.0
20,"('input_b == 1',)",1,"('MR1_input_a == 1.0',)",1,1.0,0.1,10.0,900000000.0
21,"('MR1_input_a == 1.0',)",1,"('input_b == 1',)",1,1.0,0.1,10.0,900000000.0
22,"('input_a == 8',)",1,"('MR1_input_b == 8.0',)",1,1.0,0.1,10.0,900000000.0
23,"('MR1_input_b == 8.0',)",1,"('input_a == 8',)",1,1.0,0.1,10.0,900000000.0
24,"('input_a == 7',)",1,"('MR1_input_b == 7.0',)",1,1.0,0.1,10.0,900000000.0
25,"('MR1_input_b == 7.0',)",1,"('input_a == 7',)",1,1.0,0.1,10.0,900000000.0
26,"('input_b == 2',)",1,"('MR1_input_a == 2.0',)",1,1.0,0.1,10.0,900000000.0
27,"('MR1_input_a == 2.0',)",1,"('input_b == 2',)",1,1.0,0.1,10.0,900000000.0
28,"('input_b == 4',)",1,"('MR1_input_a == 4.0',)",1,1.0,0.1,10.0,900000000.0
29,"('MR1_input_a == 4.0',)",1,"('input_b == 4',)",1,1.0,0.1,10.0,900000000.0
30,"('MR1_output == 0.0', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.1,10.0,900000000.0
31,"('MR1_checker == No-violated', 'output == 0.0')",2,"('MR1_output == 0.0',)",1,1.0,0.1,10.0,900000000.0
32,"('MR1_checker == No-violated', 'MR1_output == 0.0')",2,"('output == 0.0',)",1,1.0,0.1,10.0,900000000.0
33,"('output == 0.0',)",1,"('MR1_checker == No-violated', 'MR1_output == 0.0')",2,1.0,0.1,10.0,900000000.0
34,"('MR1_output == 0.0',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.1,10.0,900000000.0
35,"('MR1_checker == No-violated',)",1,"('MR1_output == 0.0', 'output == 0.0')",2,1.0,0.1,10.0,900000000.0
36,"('input_a == 6',)",1,"('MR1_input_b == 6.0',)",1,1.0,0.1,10.0,900000000.0
37,"('MR1_input_b == 6.0',)",1,"('input_a == 6',)",1,1.0,0.1,10.0,900000000.0
38,"('input_a == 5',)",1,"('MR1_input_b == 5.0',)",1,1.0,0.1,10.0,900000000.0
39,"('MR1_input_b == 5.0',)",1,"('input_a == 5',)",1,1.0,0.1,10.0,900000000.0
40,"('output == 0.0',)",1,"('MR1_output == 0.0',)",1,1.0,0.1,10.0,900000000.0
41,"('MR1_output == 0.0',)",1,"('output == 0.0',)",1,1.0,0.1,10.0,900000000.0
42,"('input_b == 0',)",1,"('MR1_input_a == 0.0',)",1,1.0,0.1,10.0,900000000.0
43,"('MR1_input_a == 0.0',)",1,"('input_b == 0',)",1,1.0,0.1,10.0,900000000.0
44,"('input_b == 6',)",1,"('MR1_input_a == 6.0',)",1,1.0,0.1,10.0,900000000.0
45,"('MR1_input_a == 6.0',)",1,"('input_b == 6',)",1,1.0,0.1,10.0,900000000.0
46,"('input_b == 3',)",1,"('MR1_input_a == 3.0',)",1,1.0,0.1,10.0,900000000.0
47,"('MR1_input_a == 3.0',)",1,"('input_b == 3',)",1,1.0,0.1,10.0,900000000.0
48,"('input_a == 0',)",1,"('MR1_input_b == 0.0',)",1,1.0,0.1,10.0,900000000.0
49,"('MR1_input_b == 0.0',)",1,"('input_a == 0',)",1,1.0,0.1,10.0,900000000.0
50,"('input_a == 9',)",1,"('MR1_input_b == 9.0',)",1,1.0,0.1,10.0,900000000.0
51,"('MR1_input_b == 9.0',)",1,"('input_a == 9',)",1,1.0,0.1,10.0,900000000.0
