,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('input_a == 3',)",1,"('MR4_input_a == -3.0',)",1,1.0,0.1,10.0,900000000.0
1,"('MR4_input_a == -3.0',)",1,"('input_a == 3',)",1,1.0,0.1,10.0,900000000.0
2,"('MR4_input_b == -2.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
3,"('MR4_input_a == 3.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
4,"('input_b == 7',)",1,"('MR4_input_b == 1.0',)",1,1.0,0.1,10.0,900000000.0
5,"('input_a == 7',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
6,"('MR4_input_b == 1.0',)",1,"('input_b == 7',)",1,1.0,0.1,10.0,900000000.0
7,"('MR4_input_a == 3.0', 'input_a == 9')",2,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
8,"('MR4_checker == No-violated', 'input_a == 9')",2,"('MR4_input_a == 3.0',)",1,1.0,0.1,10.0,900000000.0
9,"('MR4_checker == No-violated', 'MR4_input_a == 3.0')",2,"('input_a == 9',)",1,1.0,0.1,10.0,900000000.0
10,"('input_a == 9',)",1,"('MR4_checker == No-violated', 'MR4_input_a == 3.0')",2,1.0,0.1,10.0,900000000.0
11,"('MR4_input_a == 3.0',)",1,"('MR4_checker == No-violated', 'input_a == 9')",2,1.0,0.1,10.0,900000000.0
12,"('MR4_input_a == 0.0', 'input_a == 6')",2,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
13,"('MR4_checker == No-violated', 'input_a == 6')",2,"('MR4_input_a == 0.0',)",1,1.0,0.1,10.0,900000000.0
14,"('MR4_checker == No-violated', 'MR4_input_a == 0.0')",2,"('input_a == 6',)",1,1.0,0.1,10.0,900000000.0
15,"('input_a == 6',)",1,"('MR4_checker == No-violated', 'MR4_input_a == 0.0')",2,1.0,0.1,10.0,900000000.0
16,"('MR4_input_a == 0.0',)",1,"('MR4_checker == No-violated', 'input_a == 6')",2,1.0,0.1,10.0,900000000.0
17,"('input_b == 5',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
18,"('MR4_input_b == -4.0', 'input_b == 2')",2,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
19,"('MR4_checker == No-violated', 'input_b == 2')",2,"('MR4_input_b == -4.0',)",1,1.0,0.1,10.0,900000000.0
20,"('MR4_checker == No-violated', 'MR4_input_b == -4.0')",2,"('input_b == 2',)",1,1.0,0.1,10.0,900000000.0
21,"('MR4_input_a == -3.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
22,"('MR4_input_a == 1.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
23,"('output == 0.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
24,"('input_b == 2',)",1,"('MR4_checker == No-violated', 'MR4_input_b == -4.0')",2,1.0,0.1,10.0,900000000.0
25,"('MR4_input_b == -4.0',)",1,"('MR4_checker == No-violated', 'input_b == 2')",2,1.0,0.1,10.0,900000000.0
26,"('input_a == 6',)",1,"('MR4_input_a == 0.0',)",1,1.0,0.1,10.0,900000000.0
27,"('MR4_input_a == 0.0',)",1,"('input_a == 6',)",1,1.0,0.1,10.0,900000000.0
28,"('input_b == 9',)",1,"('MR4_input_b == 3.0',)",1,1.0,0.1,10.0,900000000.0
29,"('MR4_input_a == -1.0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
30,"('MR4_input_b == 3.0',)",1,"('input_b == 9',)",1,1.0,0.1,10.0,900000000.0
31,"('MR4_input_b == 2.0', 'input_b == 8')",2,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
32,"('MR4_checker == No-violated', 'input_b == 8')",2,"('MR4_input_b == 2.0',)",1,1.0,0.1,10.0,900000000.0
33,"('MR4_checker == No-violated', 'MR4_input_b == 2.0')",2,"('input_b == 8',)",1,1.0,0.1,10.0,900000000.0
34,"('input_b == 8',)",1,"('MR4_checker == No-violated', 'MR4_input_b == 2.0')",2,1.0,0.1,10.0,900000000.0
35,"('MR4_input_b == 2.0',)",1,"('MR4_checker == No-violated', 'input_b == 8')",2,1.0,0.1,10.0,900000000.0
36,"('input_b == 0',)",1,"('MR4_checker == No-violated',)",1,1.0,0.1,1.0,0.0
37,"('input_b == 4',)",1,"('MR4_input_b == -2.0',)",1,1.0,0.1,10.0,900000000.0
