,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('(8,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
1,"('(0,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
2,"('(3,2)', 'output == 1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
3,"('(3,2)', 'MR1_checker == Violated')",2,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
4,"('(3,2)',)",1,"('MR1_checker == Violated', 'output == 1.0')",2,1.0,0.01,11.111111111111112,910000000.0
5,"('(8,6)',)",1,"('output == 2.0',)",1,1.0,0.01,12.5,920000000.0
6,"('(0,4)',)",1,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
7,"('(5,9)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
8,"('(3,7)',)",1,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
9,"('(7,6)', 'output == 1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
10,"('(1,1)',)",1,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
11,"('(7,6)', 'MR1_checker == Violated')",2,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
12,"('(7,6)',)",1,"('MR1_checker == Violated', 'output == 1.0')",2,1.0,0.01,11.111111111111112,910000000.0
13,"('(9,7)', 'output == 2.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
14,"('(9,7)', 'MR1_checker == Violated')",2,"('output == 2.0',)",1,1.0,0.01,12.5,920000000.0
15,"('(9,7)',)",1,"('MR1_checker == Violated', 'output == 2.0')",2,1.0,0.01,12.5,920000000.0
16,"('(5,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
17,"('(0,0)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
18,"('(0,0)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
19,"('(0,0)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
20,"('(9,1)', 'output == 8.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
21,"('(9,1)', 'MR1_checker == Violated')",2,"('output == 8.0',)",1,1.0,0.01,50.0,979999999.9999999
22,"('(9,1)',)",1,"('MR1_checker == Violated', 'output == 8.0')",2,1.0,0.01,50.0,979999999.9999999
23,"('(3,1)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
24,"('(9,9)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
25,"('(1,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
26,"('(9,9)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
27,"('(9,9)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
28,"('(6,7)',)",1,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
29,"('(4,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
30,"('MR1_checker == Violated', 'output == -9.0')",2,"('(0,9)',)",1,1.0,0.01,100.0,989999999.9999999
31,"('(0,9)', 'output == -9.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
32,"('(8,9)',)",1,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
33,"('(0,9)', 'MR1_checker == Violated')",2,"('output == -9.0',)",1,1.0,0.01,100.0,989999999.9999999
34,"('output == -9.0',)",1,"('(0,9)', 'MR1_checker == Violated')",2,1.0,0.01,100.0,989999999.9999999
35,"('(0,9)',)",1,"('MR1_checker == Violated', 'output == -9.0')",2,1.0,0.01,100.0,989999999.9999999
36,"('(3,8)', 'output == -5.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
37,"('(3,8)', 'MR1_checker == Violated')",2,"('output == -5.0',)",1,1.0,0.01,20.0,949999999.9999999
38,"('(8,7)',)",1,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
39,"('(3,8)',)",1,"('MR1_checker == Violated', 'output == -5.0')",2,1.0,0.01,20.0,949999999.9999999
40,"('MR1_checker == Violated', 'output == 9.0')",2,"('(9,0)',)",1,1.0,0.01,100.0,989999999.9999999
41,"('(9,0)', 'output == 9.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
42,"('(9,0)', 'MR1_checker == Violated')",2,"('output == 9.0',)",1,1.0,0.01,100.0,989999999.9999999
43,"('output == 9.0',)",1,"('(9,0)', 'MR1_checker == Violated')",2,1.0,0.01,100.0,989999999.9999999
44,"('(1,7)',)",1,"('output == -6.0',)",1,1.0,0.01,25.0,959999999.9999999
45,"('(1,8)', 'output == -7.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
46,"('(1,8)', 'MR1_checker == Violated')",2,"('output == -7.0',)",1,1.0,0.01,33.333333333333336,969999999.9999999
47,"('(1,8)',)",1,"('MR1_checker == Violated', 'output == -7.0')",2,1.0,0.01,33.333333333333336,969999999.9999999
48,"('(9,0)',)",1,"('MR1_checker == Violated', 'output == 9.0')",2,1.0,0.01,100.0,989999999.9999999
49,"('output == 8.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.02,1.1111111111111112,99999999.99999997
50,"('(1,0)', 'output == 1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
51,"('(1,0)', 'MR1_checker == Violated')",2,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
52,"('(1,0)',)",1,"('MR1_checker == Violated', 'output == 1.0')",2,1.0,0.01,11.111111111111112,910000000.0
53,"('(4,1)',)",1,"('output == 3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
54,"('(6,2)', 'output == 4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
55,"('(6,2)', 'MR1_checker == Violated')",2,"('output == 4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
56,"('(6,2)',)",1,"('MR1_checker == Violated', 'output == 4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
57,"('(8,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
58,"('(4,3)',)",1,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
59,"('(2,2)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
60,"('(2,2)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
61,"('(2,2)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
62,"('(0,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
63,"('(1,2)', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
64,"('(1,2)', 'MR1_checker == Violated')",2,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
65,"('(1,2)',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.01,11.111111111111112,910000000.0
66,"('output == -2.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.08,1.1111111111111112,99999999.99999997
67,"('(9,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
68,"('(7,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
69,"('(8,5)', 'output == 3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
70,"('(8,5)', 'MR1_checker == Violated')",2,"('output == 3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
71,"('(8,5)',)",1,"('MR1_checker == Violated', 'output == 3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
72,"('(6,7)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
73,"('output == -4.0',)",1,"('MR1_checker == Violated',)",1,1.0,0.06,1.1111111111111112,99999999.99999997
74,"('(1,4)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
75,"('(6,0)',)",1,"('output == 6.0',)",1,1.0,0.01,25.0,959999999.9999999
76,"('(0,8)', 'output == -8.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
77,"('(0,8)', 'MR1_checker == Violated')",2,"('output == -8.0',)",1,1.0,0.01,50.0,979999999.9999999
78,"('(3,2)',)",1,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
79,"('(0,8)',)",1,"('MR1_checker == Violated', 'output == -8.0')",2,1.0,0.01,50.0,979999999.9999999
80,"('(6,5)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
81,"('(5,2)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
82,"('(0,4)', 'output == -4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
83,"('(0,4)', 'MR1_checker == Violated')",2,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
84,"('(0,4)',)",1,"('MR1_checker == Violated', 'output == -4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
85,"('(3,7)', 'output == -4.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
86,"('(3,7)', 'MR1_checker == Violated')",2,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
87,"('(7,6)',)",1,"('output == 1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
88,"('(3,7)',)",1,"('MR1_checker == Violated', 'output == -4.0')",2,1.0,0.01,16.666666666666668,939999999.9999999
89,"('(0,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
90,"('(7,4)', 'output == 3.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
91,"('(3,4)',)",1,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
92,"('(7,4)', 'MR1_checker == Violated')",2,"('output == 3.0',)",1,1.0,0.01,14.285714285714286,929999999.9999999
93,"('(7,4)',)",1,"('MR1_checker == Violated', 'output == 3.0')",2,1.0,0.01,14.285714285714286,929999999.9999999
94,"('(3,0)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
95,"('(9,1)',)",1,"('output == 8.0',)",1,1.0,0.01,50.0,979999999.9999999
96,"('(5,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
97,"('(7,9)',)",1,"('output == -2.0',)",1,1.0,0.01,12.5,920000000.0
98,"('(1,6)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
99,"('(6,7)', 'output == -1.0')",2,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
100,"('(6,6)', 'output == 0.0')",2,"('MR1_checker == No-violated',)",1,1.0,0.01,10.0,900000000.0
101,"('(8,0)',)",1,"('output == 8.0',)",1,1.0,0.01,50.0,979999999.9999999
102,"('(6,6)', 'MR1_checker == No-violated')",2,"('output == 0.0',)",1,1.0,0.01,10.0,900000000.0
103,"('(6,6)',)",1,"('MR1_checker == No-violated', 'output == 0.0')",2,1.0,0.01,10.0,900000000.0
104,"('(6,7)', 'MR1_checker == Violated')",2,"('output == -1.0',)",1,1.0,0.01,11.111111111111112,910000000.0
105,"('(6,7)',)",1,"('MR1_checker == Violated', 'output == -1.0')",2,1.0,0.01,11.111111111111112,910000000.0
106,"('(4,8)',)",1,"('output == -4.0',)",1,1.0,0.01,16.666666666666668,939999999.9999999
107,"('(1,3)',)",1,"('MR1_checker == Violated',)",1,1.0,0.01,1.1111111111111112,99999999.99999997
108,"('output == -9.0',)",1,"('(0,9)',)",1,1.0,0.01,100.0,989999999.9999999
109,"('(0,9)',)",1,"('output == -9.0',)",1,1.0,0.01,100.0,989999999.9999999
